

	Week starting on...	1/1	1/8	1/15	1/22	2/1	2/8	2/15	2/22	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22	6/1	6/8	6/15	6/22	7/1	7/8	7/15	7/22	8/1	8/8	8/15	8/22	9/1	9/8	9/15	9/22	10/1	10/8	10/15	10/22	11/1	11/8	11/15	11/22	12/1	12/8	12/15	12/22
Frequency (%)
	2019	5.263157894736842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.66666666666666	22.58064516129032	28.000000000000004	55.55555555555556	17.142857142857142	12.5	25.0	15.0	24.242424242424242	13.043478260869565	6.666666666666667	0.0	14.285714285714285	17.391304347826086	10.0	37.5	15.0	23.076923076923077	8.333333333333332	40.0	25.0	2.631578947368421	6.666666666666667	0.0	0.0	0.0	13.333333333333334	66.66666666666666	50.0	37.5	0.0	25.0	50.0	9.090909090909092	0.0	0.0	0.0	0.0
	2020	7.142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.263157894736842	35.714285714285715	61.53846153846154	56.52173913043478	52.94117647058824	14.285714285714285	0.0	8.333333333333332	0.0	6.25	0.0	0.0	0.0	0.0	10.0	0.0	11.11111111111111	0.0	9.090909090909092	7.142857142857142	11.11111111111111	25.0	36.36363636363637	11.11111111111111	12.5	23.52941176470588	25.0	20.0	22.22222222222222	28.57142857142857	37.5	44.44444444444444	33.33333333333333	0.0	9.090909090909092	0.0	0.0	0.0
	2021	0.0	0.0	0.0	5.88235294117647	0.0	0.0	0.0	0.0	0.0	4.3478260869565215	4.0	14.285714285714285	7.894736842105263	21.62162162162162	76.0	95.83333333333334	90.9090909090909	67.64705882352942	73.33333333333333	11.904761904761903	4.761904761904762	3.125	0.0	6.666666666666667	9.523809523809524	18.181818181818183	12.5	5.0	7.4074074074074066	16.666666666666664	42.857142857142854	47.368421052631575	18.51851851851852	56.25	50.0	42.857142857142854	44.44444444444444	61.53846153846154	38.095238095238095	61.53846153846154	30.0	33.33333333333333	60.0	35.714285714285715	16.666666666666664	20.0	28.57142857142857	3.8461538461538463
	2022	0.0	0.0	17.647058823529413	6.25	0.0	0.0	0.0	0.0	0.0	0.0	12.0	2.7777777777777777	11.11111111111111	26.08695652173913	62.96296296296296	85.71428571428571	78.94736842105263	59.45945945945946	74.07407407407408	69.56521739130434	28.000000000000004	17.391304347826086	7.4074074074074066	26.666666666666668	25.0	12.5	0.0	0.0	15.384615384615385	15.0	14.285714285714285	6.25	0.0	7.142857142857142	4.545454545454546	22.727272727272727	50.0	37.5	20.0	42.857142857142854	40.0	47.05882352941176	6.25	11.538461538461538	5.88235294117647	0.0	0.0	0.0
	2023	13.333333333333334	25.0	16.666666666666664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.564102564102564	0.0	30.303030303030305	43.20987654320987	55.55555555555556	9.615384615384617	26.923076923076923	15.0	4.651162790697675	3.389830508474576	13.043478260869565	4.3478260869565215	6.666666666666667	0.0	5.88235294117647	5.263157894736842	16.666666666666664	3.7037037037037033	5.88235294117647	8.108108108108109	9.090909090909092	0.0	4.545454545454546	4.0	37.5	8.333333333333332	5.263157894736842	5.555555555555555	41.66666666666667	38.46153846153847	20.0	7.142857142857142	0.0	0.0	7.6923076923076925	0.0
	Total # checklists submitted - (2019)	19	13	4	10	4	6	17	7	7	4	24	31	25	9	35	24	24	20	33	23	15	18	7	23	20	8	20	26	12	5	4	76	15	12	11	17	15	3	16	8	7	4	6	11	5	4	3	8
	Total # checklists submitted - (2020)	14	3	10	7	7	17	15	16	17	11	19	28	13	23	17	21	17	24	12	16	12	13	19	18	10	9	9	12	11	14	9	8	11	9	8	17	4	10	9	14	8	18	9	15	11	10	15	30
	Total # checklists submitted - (2021)	16	18	25	17	10	8	15	7	18	23	25	28	38	37	25	48	22	34	15	42	21	32	61	30	21	11	16	20	27	12	7	19	27	16	12	14	9	13	21	13	10	12	5	14	6	10	7	26
	Total # checklists submitted - (2022)	11	8	17	16	12	17	36	13	16	21	25	36	27	46	27	56	19	37	27	23	25	23	54	30	20	16	14	27	13	20	21	16	20	14	22	22	12	16	15	21	15	17	16	26	17	8	9	9
