

	Week starting on...	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22
Frequency (%)
	2019	0.0	0.0	66.66666666666666	22.58064516129032	28.000000000000004	55.55555555555556	17.142857142857142	12.5	21.73913043478261	15.0	24.242424242424242	13.043478260869565
	2020	0.0	0.0	5.263157894736842	35.714285714285715	61.53846153846154	56.52173913043478	52.94117647058824	14.285714285714285	0.0	8.333333333333332	0.0	6.25
	2021	0.0	4.3478260869565215	4.0	14.285714285714285	7.894736842105263	21.62162162162162	76.0	95.83333333333334	90.9090909090909	67.64705882352942	73.33333333333333	11.904761904761903
	2022	0.0	0.0	12.0	2.7777777777777777	11.11111111111111	27.27272727272727	62.96296296296296	87.27272727272727	77.77777777777779	60.0	74.07407407407408	72.72727272727273
	2023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	Total # checklists submitted - (2019)	7	4	24	31	25	9	35	24	23	20	33	23
	Total # checklists submitted - (2020)	17	10	19	28	13	23	17	21	17	24	12	16
	Total # checklists submitted - (2021)	18	23	25	28	38	37	25	48	22	34	15	42
	Total # checklists submitted - (2022)	16	21	25	36	27	44	27	55	18	35	27	22
	Total # checklists submitted - (2023)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	
Abundance
	2019	0.0	0.0	6.458333333333333	0.8387096774193549	2.6	24.22222222222222	2.6	0.4583333333333333	0.8260869565217391	0.45	0.6363636363636364	0.17391304347826086
	2020	0.0	0.0	0.10526315789473684	2.107142857142857	44.53846153846154	14.695652173913043	2.764705882352941	1.5238095238095237	0.0	0.4583333333333333	0.0	0.0625
	2021	0.0	0.08695652173913043	0.16	0.39285714285714285	0.5263157894736842	1.7297297297297298	24.84	51.833333333333336	43.86363636363637	7.470588235294118	6.8	0.14285714285714285
	2022	0.0	0.0	0.32	0.05555555555555555	0.4074074074074074	2.409090909090909	4.851851851851852	33.50909090909091	19.88888888888889	24.34285714285714	28.85185185185185	4.363636363636363
	2023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	Total # checklists submitted - (2019)	7	4	24	31	25	9	35	24	23	20	33	23
	Total # checklists submitted - (2020)	17	10	19	28	13	23	17	21	17	24	12	16
	Total # checklists submitted - (2021)	18	23	25	28	38	37	25	48	22	34	15	42
	Total # checklists submitted - (2022)	16	21	25	36	27	44	27	55	18	35	27	22
	Total # checklists submitted - (2023)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	
Birds Per Party Hour
	2019	0.0	0.0	4.826019176404487	2.050204762817528	11.199916118605934	31.51563143253702	7.378274270721583	0.8115079365079365	1.7628246302627861	1.1666666666666667	0.977301707369786	0.3875102032242633
	2020	0.0	0.0	1.1177266576454667	18.768506403042963	28.600813703929862	11.373079565411865	2.280970218261977	9.46627124494118	0.0	2.0	0.0	2.107135204628241
	2021	0.0	1.6666666666666667	2.3296447291788	1.183141379019702	1.5923517123898983	8.210023892136014	10.554375717757466	23.709808631535275	19.46527264630984	7.23978482376395	2.5715465309157914	0.4401187167468217
	2022	0.0	0.0	1.4843289412706275	0.9837678307919331	1.29202630159035	2.9001255306171285	3.1370373728114704	17.02522511412758	15.104905706472335	22.92533358505864	11.657176653846273	2.4275374899365447
	2023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2019)	0.0	0.0	17	8	7	4	8	3	5	3	6	3
	# checklists reporting species - (2020)	0.0	0.0	2	9	7	13	7	3	0.0	2	0.0	2
	# checklists reporting species - (2021)	0.0	1	1	5	3	6	22	45	20	24	9	4
	# checklists reporting species - (2022)	0.0	0.0	3	1	3	12	17	49	13	20	22	15
	# checklists reporting species - (2023)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	
High Count
	2019	0.0	0.0	26	12	23	200	80	5	6	3	10	2
	2020	0.0	0.0	4	16	151	120	30	20	0.0	10	0.0	1
	2021	0.0	2	4	5	16	25	200	700	240	27	60	2
	2022	0.0	0.0	4	2	4	45	40	500	86	200	130	20
	2023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2019)	0.0	0.0	19	8	7	5	8	3	5	5	10	3
	# checklists reporting species - (2020)	0.0	0.0	2	10	8	15	10	4	0.0	2	0.0	2
	# checklists reporting species - (2021)	0.0	1	1	5	3	9	22	48	21	27	11	5
	# checklists reporting species - (2022)	0.0	0.0	3	1	3	13	19	54	17	23	24	17
	# checklists reporting species - (2023)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	
Totals
	2019	0.0	0.0	176	32	65	218	94	11	19	9	22	4
	2020	0.0	0.0	6	59	579	363	47	32	0.0	11	0.0	2
	2021	0.0	2	4	12	20	64	677	2491	972	266	102	6
	2022	0.0	0.0	8	2	11	106	140	2278	359	858	796	96
	2023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2019)	0.0	0.0	17	8	7	4	8	3	5	3	6	3
	# checklists reporting species - (2020)	0.0	0.0	2	9	7	13	7	3	0.0	2	0.0	2
	# checklists reporting species - (2021)	0.0	1	1	5	3	6	22	45	20	24	9	4
	# checklists reporting species - (2022)	0.0	0.0	3	1	3	12	17	49	13	20	22	15
	# checklists reporting species - (2023)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	
Average Count
	2019	0.0	0.0	10.352941176470589	4.0	9.285714285714286	54.5	11.75	3.6666666666666665	3.8	3.0	3.6666666666666665	1.3333333333333333
	2020	0.0	0.0	3.0	6.555555555555555	82.71428571428571	27.923076923076923	6.714285714285714	10.666666666666666	0.0	5.5	0.0	1.0
	2021	0.0	2.0	4.0	2.4	6.666666666666667	10.666666666666666	30.772727272727273	55.355555555555554	48.6	11.083333333333334	11.333333333333334	1.5
	2022	0.0	0.0	2.6666666666666665	2.0	3.6666666666666665	8.833333333333334	8.235294117647058	46.48979591836735	27.615384615384617	42.9	36.18181818181818	6.4
	2023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2019)	0.0	0.0	17	8	7	4	8	3	5	3	6	3
	# checklists reporting species - (2020)	0.0	0.0	2	9	7	13	7	3	0.0	2	0.0	2
	# checklists reporting species - (2021)	0.0	1	1	5	3	6	22	45	20	24	9	4
	# checklists reporting species - (2022)	0.0	0.0	3	1	3	12	17	49	13	20	22	15
	# checklists reporting species - (2023)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	
