

	Week starting on...	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22
Frequency (%)
	2014	5.88235294117647	0.0	0.0	21.62162162162162	11.11111111111111	15.384615384615385	5.263157894736842	13.636363636363635	11.11111111111111	4.545454545454546	20.408163265306122	10.0
	2015	0.0	0.0	0.0	9.375	0.0	5.263157894736842	6.666666666666667	30.0	9.090909090909092	10.0	24.0	6.666666666666667
	2016	0.0	0.0	0.0	11.538461538461538	0.0	6.666666666666667	9.090909090909092	7.317073170731707	17.24137931034483	15.384615384615385	7.6923076923076925	7.4074074074074066
	2017	0.0	0.0	0.0	3.8461538461538463	3.225806451612903	4.545454545454546	7.142857142857142	15.384615384615385	0.0	4.25531914893617	20.833333333333336	13.043478260869565
	2018	5.88235294117647	0.0	0.0	6.451612903225806	27.586206896551722	33.33333333333333	50.0	35.483870967741936	25.0	8.333333333333332	17.741935483870968	12.5
	Total # checklists submitted - (2014)	17	16	25	37	27	26	19	22	18	44	49	10
	Total # checklists submitted - (2015)	23	14	17	32	20	19	30	20	44	30	50	30
	Total # checklists submitted - (2016)	34	16	12	26	30	30	11	41	29	65	39	27
	Total # checklists submitted - (2017)	6	13	19	26	31	22	28	26	36	47	48	23
	Total # checklists submitted - (2018)	17	27	13	31	29	21	22	31	36	48	62	24
	
Abundance
	2014	0.11764705882352941	0.0	0.0	27.35135135135135	0.18518518518518517	0.11538461538461539	0.0	2.6363636363636362	283.3333333333333	0.045454545454545456	10.26530612244898	0.1
	2015	0.0	0.0	0.0	1.0	0.0	7.894736842105263	1.0	86.45	14.659090909090908	0.9	2.24	2.0
	2016	0.0	0.0	0.0	0.7307692307692307	0.0	0.43333333333333335	0.0	2.292682926829268	29.03448275862069	5.876923076923077	5.205128205128205	0.9629629629629629
	2017	0.0	0.0	0.0	0.9615384615384616	1.2903225806451613	0.0	1.8928571428571428	19.384615384615383	0.0	0.44680851063829785	35.0	437.04347826086956
	2018	0.058823529411764705	0.0	0.0	6.451612903225806	17.79310344827586	39.095238095238095	15.818181818181818	152.5483870967742	60.111111111111114	4.208333333333333	75.3225806451613	89.66666666666667
	Total # checklists submitted - (2014)	17	16	25	37	27	26	19	22	18	44	49	10
	Total # checklists submitted - (2015)	23	14	17	32	20	19	30	20	44	30	50	30
	Total # checklists submitted - (2016)	34	16	12	26	30	30	11	41	29	65	39	27
	Total # checklists submitted - (2017)	6	13	19	26	31	22	28	26	36	47	48	23
	Total # checklists submitted - (2018)	17	27	13	31	29	21	22	31	36	48	62	24
	
Birds Per Party Hour
	2014	1.5003750937734435	0.0	0.0	101.88571428571429	1.8333333333333333	1.799640071985603	0.0	7.504462911665128	4080.0	2.1052631578947367	42.095238095238095	0.4444444444444444
	2015	0.0	0.0	0.0	1.2222222222222223	0.0	0.0	30.0	87.93172736568962	122.41381395655084	21.63894249045366	10.148839167593415	10.52551736606461
	2016	0.0	0.0	0.0	1.7970693697421045	0.0	3.8103727714748783	0.0	20.152535811072397	95.43660558184062	64.18851995117761	24.05665234494294	4.7909572983533355
	2017	0.0	0.0	0.0	9.803921568627452	29.985007496251875	0.0	22.792726889288705	49.86542073492558	0.0	2.7613409148526253	57.06806304427131	3956.1276390912685
	2018	1.7123287671232876	0.0	0.0	75.0	32.2806356069979	155.91934937864556	64.08327445812463	135.69170188785574	742.6236945015892	201.4992503748126	1321.0940959762304	134.4797985533408
	# checklists reporting species - (2014)	1	0.0	0.0	5	2	1	0	3	1	1	2	1
	# checklists reporting species - (2015)	0.0	0.0	0.0	3	0.0	0	1	6	3	3	5	2
	# checklists reporting species - (2016)	0.0	0.0	0.0	3	0.0	2	0	2	5	8	3	2
	# checklists reporting species - (2017)	0.0	0.0	0.0	1	1	0	2	3	0.0	2	9	4
	# checklists reporting species - (2018)	1	0.0	0.0	2	8	7	10	10	9	2	7	3
	
High Count
	2014	2	0.0	0.0	1000	3	3	1	50	5100	2	500	1
	2015	0.0	0.0	0.0	30	0.0	150	30	1500	400	20	47	50
	2016	0.0	0.0	0.0	15	0.0	12	1	80	800	200	200	20
	2017	0.0	0.0	0.0	25	40	1	50	500	0.0	20	1000	10000
	2018	1	0.0	0.0	100	350	800	300	4500	1000	200	2500	2000
	# checklists reporting species - (2014)	1	0.0	0.0	8	3	4	1	3	2	2	10	1
	# checklists reporting species - (2015)	0.0	0.0	0.0	3	0.0	1	2	6	4	3	12	2
	# checklists reporting species - (2016)	0.0	0.0	0.0	3	0.0	2	1	3	5	10	3	2
	# checklists reporting species - (2017)	0.0	0.0	0.0	1	1	1	2	4	0.0	2	10	4
	# checklists reporting species - (2018)	1	0.0	0.0	2	8	7	11	11	9	4	12	3
	
Totals
	2014	2	0.0	0.0	1012	5	3	0	58	5100	2	503	1
	2015	0.0	0.0	0.0	32	0.0	150	30	1729	645	27	112	60
	2016	0.0	0.0	0.0	19	0.0	13	0	94	842	382	203	26
	2017	0.0	0.0	0.0	25	40	0	53	504	0.0	21	1680	10054
	2018	1	0.0	0.0	200	516	821	348	4729	2164	202	4670	2152
	# checklists reporting species - (2014)	1	0.0	0.0	5	3	1	0	3	1	1	2	1
	# checklists reporting species - (2015)	0.0	0.0	0.0	3	0.0	1	1	6	3	3	5	2
	# checklists reporting species - (2016)	0.0	0.0	0.0	3	0.0	2	0	2	5	8	3	2
	# checklists reporting species - (2017)	0.0	0.0	0.0	1	1	0	2	3	0.0	2	9	4
	# checklists reporting species - (2018)	1	0.0	0.0	2	8	7	10	10	9	2	7	3
	
Average Count
	2014	2.0	0.0	0.0	202.4	1.6666666666666667	3.0	0.0	19.333333333333332	5100.0	2.0	251.5	1.0
	2015	0.0	0.0	0.0	10.666666666666666	0.0	150.0	30.0	288.1666666666667	215.0	9.0	22.4	30.0
	2016	0.0	0.0	0.0	6.333333333333333	0.0	6.5	0.0	47.0	168.4	47.75	67.66666666666667	13.0
	2017	0.0	0.0	0.0	25.0	40.0	0.0	26.5	168.0	0.0	10.5	186.66666666666666	2513.5
	2018	1.0	0.0	0.0	100.0	64.5	117.28571428571429	34.8	472.9	240.44444444444446	101.0	667.1428571428571	717.3333333333334
	# checklists reporting species - (2014)	1	0.0	0.0	5	3	1	0	3	1	1	2	1
	# checklists reporting species - (2015)	0.0	0.0	0.0	3	0.0	1	1	6	3	3	5	2
	# checklists reporting species - (2016)	0.0	0.0	0.0	3	0.0	2	0	2	5	8	3	2
	# checklists reporting species - (2017)	0.0	0.0	0.0	1	1	0	2	3	0.0	2	9	4
	# checklists reporting species - (2018)	1	0.0	0.0	2	8	7	10	10	9	2	7	3
	
