

	Week starting on...	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22
Frequency (%)
	2004	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	100.0	0.0
	2007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2008	0.0	0.0	0.0	33.33333333333333	0.0	100.0	0.0	100.0	0.0	100.0	66.66666666666666	0.0
	Total # checklists submitted - (2004)	0.0	0.0	1	0.0	0.0	1	1	1	1	0.0	0.0	0.0
	Total # checklists submitted - (2005)	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	1	0.0	1	2
	Total # checklists submitted - (2006)	0.0	0.0	1	0.0	0	2	0.0	0.0	1	0.0	1	1
	Total # checklists submitted - (2007)	0.0	0.0	1	0	0.0	0.0	0.0	1	0.0	0.0	1	0
	Total # checklists submitted - (2008)	0.0	0.0	0.0	3	0.0	2	0.0	2	0.0	1	3	0
	
Abundance
	2004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2008	0.0	0.0	0.0	0.3333333333333333	0.0	350.0	0.0	272.5	0.0	500.0	36.666666666666664	0.0
	Total # checklists submitted - (2004)	0.0	0.0	1	0.0	0.0	1	1	1	1	0.0	0.0	0.0
	Total # checklists submitted - (2005)	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	1	0.0	1	2
	Total # checklists submitted - (2006)	0.0	0.0	1	0.0	0	2	0.0	0.0	1	0.0	1	1
	Total # checklists submitted - (2007)	0.0	0.0	1	0	0.0	0.0	0.0	1	0.0	0.0	1	0
	Total # checklists submitted - (2008)	0.0	0.0	0.0	3	0.0	2	0.0	2	0.0	1	3	0
	
Birds Per Party Hour
	2004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2008	0.0	0.0	0.0	1.7152658662092624	0.0	175.0	0.0	90.83333333333333	0.0	250.0	41.666666666666664	0.0
	# checklists reporting species - (2004)	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2005)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2006)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0
	# checklists reporting species - (2007)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2008)	0.0	0.0	0.0	1	0.0	2	0.0	2	0.0	1	2	1
	
High Count
	2004	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	1	0.0
	2007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2008	0.0	0.0	0.0	1	0.0	350	0.0	500	0.0	500	100	100
	# checklists reporting species - (2004)	0.0	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2005)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2006)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0	1	0.0
	# checklists reporting species - (2007)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2008)	0.0	0.0	0.0	1	0.0	2	0.0	2	0.0	2	2	1
	
Totals
	2004	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0
	2007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2008	0.0	0.0	0.0	1	0.0	700	0.0	545	0.0	500	110	100
	# checklists reporting species - (2004)	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2005)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2006)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0
	# checklists reporting species - (2007)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2008)	0.0	0.0	0.0	1	0.0	2	0.0	2	0.0	1	2	1
	
Average Count
	2004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	2008	0.0	0.0	0.0	1.0	0.0	350.0	0.0	272.5	0.0	500.0	55.0	100.0
	# checklists reporting species - (2004)	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2005)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2006)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0
	# checklists reporting species - (2007)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
	# checklists reporting species - (2008)	0.0	0.0	0.0	1	0.0	2	0.0	2	0.0	1	2	1
	
