

	Week starting on...	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22
Frequency (%)
	2009	0.0	0.0	0.0	14.285714285714285	25.0	0.0	0.0	50.0	100.0	0.0	33.33333333333333	0.0
	2010	0.0	0.0	0.0	0.0	11.11111111111111	100.0	42.857142857142854	50.0	25.0	28.57142857142857	66.66666666666666	0.0
	2011	0.0	0.0	50.0	20.0	16.666666666666664	40.0	88.88888888888889	57.14285714285714	75.0	44.44444444444444	25.0	42.857142857142854
	2012	0.0	0.0	12.5	25.0	27.27272727272727	15.384615384615385	26.666666666666668	0.0	11.11111111111111	33.33333333333333	46.15384615384615	16.666666666666664
	2013	0.0	0.0	9.090909090909092	33.33333333333333	66.66666666666666	33.33333333333333	50.0	0.0	15.384615384615385	12.5	37.5	12.5
	Total # checklists submitted - (2009)	1	7	3	7	4	2	2	2	3	3	3	4
	Total # checklists submitted - (2010)	0.0	1	3	6	9	1	7	6	4	7	3	5
	Total # checklists submitted - (2011)	3	5	2	5	6	5	9	14	8	9	4	7
	Total # checklists submitted - (2012)	11	6	8	16	11	13	15	3	9	6	13	12
	Total # checklists submitted - (2013)	4	10	11	15	15	9	10	1	13	8	8	8
	
Abundance
	2009	0.0	0.0	0.0	0.14285714285714285	0.25	0.0	0.0	5.0	4.333333333333333	0.0	0.3333333333333333	0.0
	2010	0.0	0.0	0.0	0.0	0.2222222222222222	1.0	4.857142857142857	33.333333333333336	0.25	4.285714285714286	2.6666666666666665	0.0
	2011	0.0	0.0	2.0	0.0	0.16666666666666666	0.8	14.444444444444445	105.71428571428571	44.875	1.3333333333333333	1.5	1.4285714285714286
	2012	0.0	0.0	0.0	0.75	0.9090909090909091	0.0	1.7333333333333334	0.0	0.2222222222222222	1.8333333333333333	3.769230769230769	0.0
	2013	0.0	0.0	0.18181818181818182	0.2	266.4	0.7777777777777778	1.5	0.0	0.07692307692307693	0.0	0.0	0.125
	Total # checklists submitted - (2009)	1	7	3	7	4	2	2	2	3	3	3	4
	Total # checklists submitted - (2010)	0.0	1	3	6	9	1	7	6	4	7	3	5
	Total # checklists submitted - (2011)	3	5	2	5	6	5	9	14	8	9	4	7
	Total # checklists submitted - (2012)	11	6	8	16	11	13	15	3	9	6	13	12
	Total # checklists submitted - (2013)	4	10	11	15	15	9	10	1	13	8	8	8
	
Birds Per Party Hour
	2009	0.0	0.0	0.0	0.5	0.5	0.0	0.0	3.3333333333333335	3.1666666666666665	0.0	0.7501875468867217	0.0
	2010	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	6.181818181818182	66.66666666666667	0.5	7.5	1.7222222222222223	0.0
	2011	0.0	0.0	0.5	0.0	0.2	7.448648648648649	5.233333333333333	132.59383753501402	32.48974061169183	1.4901960784313726	4.8	0.0
	2012	0.0	0.0	0.0	1.0762237762237763	1.8253968253968254	339.6	5.7	0.0	37.86363636363637	7.2242656449553	2.395091198433101	3.5285815102328866
	2013	0.0	0.0	0.8888888888888888	0.6216484089723526	45.98647406173672	5.6	39.973518423307624	0.0	31.418803418803417	0.0	0.0	1.840171028585221
	# checklists reporting species - (2009)	0.0	0.0	0.0	1	1	0.0	0.0	1	2	0.0	1	0.0
	# checklists reporting species - (2010)	0.0	0.0	0.0	0.0	0	1	1	1	1	1	2	0.0
	# checklists reporting species - (2011)	0.0	0.0	2	0	1	2	6	6	5	3	1	1
	# checklists reporting species - (2012)	0.0	0.0	0	6	2	1	2	0.0	2	2	5	1
	# checklists reporting species - (2013)	0.0	0.0	1	2	10	1	5	0.0	2	0	0	2
	
High Count
	2009	0.0	0.0	0.0	1	1	0.0	0.0	10	10	0.0	1	0.0
	2010	0.0	0.0	0.0	0.0	2	1	34	200	1	30	7	0.0
	2011	0.0	0.0	4	1	1	123	75	1000	150	6	6	10
	2012	0.0	0.0	1	9	5	3396	16	0.0	822	11	20	5
	2013	0.0	0.0	2	2	3642	7	2398	0.0	814	1	1	33
	# checklists reporting species - (2009)	0.0	0.0	0.0	1	1	0.0	0.0	3	3	0.0	1	0.0
	# checklists reporting species - (2010)	0.0	0.0	0.0	0.0	1	1	3	3	1	2	3	0.0
	# checklists reporting species - (2011)	0.0	0.0	2	2	1	5	8	8	6	4	1	3
	# checklists reporting species - (2012)	0.0	0.0	1	6	3	3	4	0.0	2	3	6	3
	# checklists reporting species - (2013)	0.0	0.0	1	5	10	3	6	0.0	3	1	3	2
	
Totals
	2009	0.0	0.0	0.0	1	1	0.0	0.0	10	13	0.0	1	0.0
	2010	0.0	0.0	0.0	0.0	2	1	34	200	1	30	8	0.0
	2011	0.0	0.0	8	0	1	127	130	1480	359	12	6	10
	2012	0.0	0.0	0	24	10	3396	26	0.0	824	12	49	5
	2013	0.0	0.0	2	3	3996	7	2413	0.0	815	0	0	34
	# checklists reporting species - (2009)	0.0	0.0	0.0	1	1	0.0	0.0	1	2	0.0	1	0.0
	# checklists reporting species - (2010)	0.0	0.0	0.0	0.0	1	1	1	1	1	1	2	0.0
	# checklists reporting species - (2011)	0.0	0.0	2	0	1	2	6	6	5	3	1	1
	# checklists reporting species - (2012)	0.0	0.0	0	6	2	1	2	0.0	2	2	5	1
	# checklists reporting species - (2013)	0.0	0.0	1	2	10	1	5	0.0	2	0	0	2
	
Average Count
