

	Week starting on...	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22
Frequency (%)
	2009	0.0	0.0	0.0	16.666666666666664	28.57142857142857	33.33333333333333	33.33333333333333	33.33333333333333	0.0	0.0	14.285714285714285	0.0
	2010	0.0	0.0	0.0	33.33333333333333	18.181818181818183	50.0	80.0	25.0	10.0	0.0	0.0	0.0
	2011	0.0	33.33333333333333	0.0	16.666666666666664	0.0	0.0	0.0	16.666666666666664	0.0	29.411764705882355	0.0	18.181818181818183
	2012	4.761904761904762	0.0	0.0	0.0	5.555555555555555	7.6923076923076925	31.818181818181817	10.0	12.0	4.3478260869565215	23.25581395348837	20.0
	2013	0.0	0.0	0.0	6.0606060606060606	14.285714285714285	29.411764705882355	52.17391304347826	34.0	4.651162790697675	3.571428571428571	25.806451612903224	11.11111111111111
	Total # checklists submitted - (2009)	2	7	6	6	7	3	3	6	7	1	7	3
	Total # checklists submitted - (2010)	5	1	5	3	11	4	5	4	10	5	7	1
	Total # checklists submitted - (2011)	9	3	6	12	11	7	9	18	12	17	11	11
	Total # checklists submitted - (2012)	21	12	20	28	18	26	22	30	25	23	43	25
	Total # checklists submitted - (2013)	23	28	10	33	28	17	23	50	43	28	31	9
	
Abundance
	2009	0.0	0.0	0.0	7.166666666666667	10.285714285714286	0.3333333333333333	2.0	16.666666666666668	0.0	0.0	0.0	0.0
	2010	0.0	0.0	0.0	2.0	0.45454545454545453	5.5	2.8	15.0	6.4	0.0	0.0	0.0
	2011	0.0	1.6666666666666667	0.0	1.0833333333333333	0.0	0.0	0.0	6.111111111111111	0.0	61.94117647058823	0.0	9.090909090909092
	2012	0.047619047619047616	0.0	0.0	0.0	0.0	5.769230769230769	0.7727272727272727	40.03333333333333	40.0	0.0	51.72093023255814	28.08
	2013	0.0	0.0	0.0	0.12121212121212122	0.8928571428571429	59.11764705882353	2.8260869565217392	41.94	0.0	114.28571428571429	11.129032258064516	33.333333333333336
	Total # checklists submitted - (2009)	2	7	6	6	7	3	3	6	7	1	7	3
	Total # checklists submitted - (2010)	5	1	5	3	11	4	5	4	10	5	7	1
	Total # checklists submitted - (2011)	9	3	6	12	11	7	9	18	12	17	11	11
	Total # checklists submitted - (2012)	21	12	20	28	18	26	22	30	25	23	43	25
	Total # checklists submitted - (2013)	23	28	10	33	28	17	23	50	43	28	31	9
	
Birds Per Party Hour
	2009	0.0	0.0	0.0	14.333333333333334	28.2	1.0	6.0	33.333333333333336	0.0	0.0	0.0	0.0
	2010	0.0	0.0	0.0	2.0	1.2	7.166666666666667	3.5238095238095237	15.0	46.2762111352133	0.0	0.0	0.0
	2011	0.0	3.3333333333333335	0.0	3.1666666666666665	0.0	0.0	0.0	15.966653027823241	0.0	109.23076923076923	0.0	22.22222222222222
	2012	0.6666666666666666	0.0	0.0	0.0	0.0	200.0	3.4328835582208894	200.69013112491373	1000.0	0.0	102.05238095238096	65.93050193050193
	2013	0.0	0.0	0.0	1.6666666666666667	15.866666666666667	1204.0407673860911	8.518518518518519	6.199761508444981	0.0	2742.073693230506	141.55555555555554	60.0
	# checklists reporting species - (2009)	0.0	0.0	0.0	1	2	1	1	1	0.0	0.0	0	0.0
	# checklists reporting species - (2010)	0.0	0.0	0.0	1	2	2	3	1	1	0.0	0.0	0.0
	# checklists reporting species - (2011)	0.0	1	0.0	2	0.0	0.0	0.0	2	0.0	3	0.0	1
	# checklists reporting species - (2012)	1	0.0	0.0	0.0	0	1	5	3	1	0	6	5
	# checklists reporting species - (2013)	0.0	0.0	0.0	2	3	2	9	12	0	1	3	1
	
High Count
	2009	0.0	0.0	0.0	43	68	1	6	100	0.0	0.0	1	0.0
	2010	0.0	0.0	0.0	6	4	20	8	60	64	0.0	0.0	0.0
	2011	0.0	5	0.0	7	0.0	0.0	0.0	95	0.0	1000	0.0	100
	2012	1	0.0	0.0	0.0	1	150	6	1000	1000	1	1000	500
	2013	0.0	0.0	0.0	3	20	1000	12	2000	1	3200	300	300
	# checklists reporting species - (2009)	0.0	0.0	0.0	1	2	1	1	2	0.0	0.0	1	0.0
	# checklists reporting species - (2010)	0.0	0.0	0.0	1	2	2	4	1	1	0.0	0.0	0.0
	# checklists reporting species - (2011)	0.0	1	0.0	2	0.0	0.0	0.0	3	0.0	5	0.0	2
	# checklists reporting species - (2012)	1	0.0	0.0	0.0	1	2	7	3	3	1	10	5
	# checklists reporting species - (2013)	0.0	0.0	0.0	2	4	5	12	17	2	2	8	1
	
Totals
	2009	0.0	0.0	0.0	43	72	1	6	100	0.0	0.0	0	0.0
	2010	0.0	0.0	0.0	6	5	22	14	60	64	0.0	0.0	0.0
	2011	0.0	5	0.0	13	0.0	0.0	0.0	110	0.0	1053	0.0	100
	2012	1	0.0	0.0	0.0	0	150	17	1201	1000	0	2224	702
	2013	0.0	0.0	0.0	4	25	1005	65	2097	0	3200	345	300
	# checklists reporting species - (2009)	0.0	0.0	0.0	1	2	1	1	1	0.0	0.0	0	0.0
	# checklists reporting species - (2010)	0.0	0.0	0.0	1	2	2	3	1	1	0.0	0.0	0.0
	# checklists reporting species - (2011)	0.0	1	0.0	2	0.0	0.0	0.0	2	0.0	3	0.0	1
	# checklists reporting species - (2012)	1	0.0	0.0	0.0	0	1	5	3	1	0	6	5
	# checklists reporting species - (2013)	0.0	0.0	0.0	2	3	2	9	12	0	1	3	1
	
Average Count
	2009	0.0	0.0	0.0	43.0	36.0	1.0	6.0	100.0	0.0	0.0	0.0	0.0
	2010	0.0	0.0	0.0	6.0	2.5	11.0	4.666666666666667	60.0	64.0	0.0	0.0	0.0
	2011	0.0	5.0	0.0	6.5	0.0	0.0	0.0	55.0	0.0	351.0	0.0	100.0
	2012	1.0	0.0	0.0	0.0	0.0	150.0	3.4	400.3333333333333	1000.0	0.0	370.6666666666667	140.4
	2013	0.0	0.0	0.0	2.0	8.333333333333334	502.5	7.222222222222222	174.75	0.0	3200.0	115.0	300.0
	# checklists reporting species - (2009)	0.0	0.0	0.0	1	2	1	1	1	0.0	0.0	0	0.0
	# checklists reporting species - (2010)	0.0	0.0	0.0	1	2	2	3	1	1	0.0	0.0	0.0
	# checklists reporting species - (2011)	0.0	1	0.0	2	0.0	0.0	0.0	2	0.0	3	0.0	1
	# checklists reporting species - (2012)	1	0.0	0.0	0.0	0	1	5	3	1	0	6	5
	# checklists reporting species - (2013)	0.0	0.0	0.0	2	3	2	9	12	0	1	3	1
	
