

	Week starting on...	3/1	3/8	3/15	3/22	4/1	4/8	4/15	4/22	5/1	5/8	5/15	5/22
Frequency (%)
	2014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0
	2015	0.0	0.0	0.0	0.0	0.0	0.0	16.666666666666664	100.0	100.0	40.0	20.0	25.0
	2016	0.0	0.0	0.0	25.0	0.0	20.0	0.0	66.66666666666666	100.0	33.33333333333333	0.0	50.0
	2017	0.0	0.0	0.0	30.0	66.66666666666666	100.0	0.0	33.33333333333333	50.0	66.66666666666666	0.0	50.0
	2018	0.0	0.0	0.0	25.0	36.36363636363637	0.0	100.0	33.33333333333333	16.666666666666664	0.0	33.33333333333333	30.0
	Total # checklists submitted - (2014)	2	0.0	2	2	3	0.0	0.0	2	1	0.0	4	3
	Total # checklists submitted - (2015)	2	4	1	1	1	2	6	1	3	5	5	4
	Total # checklists submitted - (2016)	1	1	2	4	1	5	0	3	2	3	0.0	2
	Total # checklists submitted - (2017)	0.0	3	4	10	3	1	3	9	2	3	9	4
	Total # checklists submitted - (2018)	0.0	4	4	12	11	3	3	6	6	6	3	10
	
Abundance
	2014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0
	2015	0.0	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.0	35.333333333333336	3.6	60.0	0.25
	2016	0.0	0.0	0.0	0.75	0.0	0.2	0.0	3.6666666666666665	34.0	0.0	0.0	3.0
	2017	0.0	0.0	0.0	2.3	3.3333333333333335	12.0	0.0	1.5555555555555556	4.0	2.3333333333333335	0.0	1.0
	2018	0.0	0.0	0.0	0.5	3.6363636363636362	0.0	4.0	3.6666666666666665	1666.6666666666667	0.0	3000.0	10.0
	Total # checklists submitted - (2014)	2	0.0	2	2	3	0.0	0.0	2	1	0.0	4	3
	Total # checklists submitted - (2015)	2	4	1	1	1	2	6	1	3	5	5	4
	Total # checklists submitted - (2016)	1	1	2	4	1	5	0	3	2	3	0.0	2
	Total # checklists submitted - (2017)	0.0	3	4	10	3	1	3	9	2	3	9	4
	Total # checklists submitted - (2018)	0.0	4	4	12	11	3	3	6	6	6	3	10
	
Birds Per Party Hour
	2014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0
	2015	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	46.0	3.2727272727272725	100.0	1.6666666666666667
	2016	0.0	0.0	0.0	1.2858979854264896	0.0	1.7152658662092624	0.0	1.9848484848484849	49.481259370314845	0.0	0.0	1.8001800180018002
	2017	0.0	0.0	0.0	5.6602804788036325	1.6666666666666667	2.0107238605898123	0.0	10.160677766555988	9.22722029988466	5.1563322172731265	0.0	15.85763293310463
	2018	0.0	0.0	0.0	4.8979134180474615	20.543476122548448	0.0	7.332333833083458	7.50485095895748	26109.660574412534	0.0	33707.86516853933	460.8294930875576
	# checklists reporting species - (2014)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
	# checklists reporting species - (2015)	0.0	0.0	0.0	0.0	0.0	0.0	1	0	2	1	1	1
	# checklists reporting species - (2016)	0.0	0.0	0.0	1	0.0	1	0.0	2	2	0	0.0	1
	# checklists reporting species - (2017)	0.0	0.0	0.0	2	2	2	0.0	3	1	3	0.0	2
	# checklists reporting species - (2018)	0.0	0.0	0.0	3	4	0.0	3	4	1	0.0	1	1
	
High Count
	2014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14	0.0
	2015	0.0	0.0	0.0	0.0	0.0	0.0	4	1	100	18	300	1
	2016	0.0	0.0	0.0	3	0.0	1	0.0	10	50	300	0.0	6
	2017	0.0	0.0	0.0	15	9	90	0.0	6	8	150	0.0	3
	2018	0.0	0.0	0.0	4	30	0.0	8	20	10000	0.0	9000	100
	# checklists reporting species - (2014)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.0
	# checklists reporting species - (2015)	0.0	0.0	0.0	0.0	0.0	0.0	1	1	3	2	1	1
	# checklists reporting species - (2016)	0.0	0.0	0.0	1	0.0	1	0.0	2	2	3	0.0	1
	# checklists reporting species - (2017)	0.0	0.0	0.0	3	2	2	0.0	3	1	3	0.0	2
	# checklists reporting species - (2018)	0.0	0.0	0.0	3	4	0.0	3	4	1	0.0	1	3
	
Totals
	2014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14	0.0
	2015	0.0	0.0	0.0	0.0	0.0	0.0	4	0	106	18	300	1
